site,lon,lat,color,shape
puerto_rico,-66.1,18.45,black,21
tamandare,-35.1050,-8.76,white,21
salvador,-38.55176389,-13.13708611,grey80,21
abrolhos,-38.71095,-17.95743611,black,22
trindade,-29.329574,-20.492039,white,22
guarapari,-40.14419722,-20.72124167,grey80,22
arraial,-41.86196389,-22.95193889,black,23
florianopolis,-48.363806,-27.290608,grey80,23
