site,id,observation,life_stage,aggregation_mode,aggregation_number,prof_m,size_cm,EAM,MCRU,MFOL,MCOR,MCT,MCA,ANT_OCT,ANT_ZOA,ANT_SCL,POR,SAND,EGGS_ABUSAX,SEAURCHIN,PLANKTON
salvador,48,,adult,s,1,3.0,12,10,,,,,,,19,,,,,,
salvador,49,,adult,p,2,2.0,12,3,,1,,,,,8,1,,,,,
salvador,50,,adult,p,2,2.0,12,5,,,,,,,10,,,,,,
salvador,51,,adult,p,2,3.0,14,1,,,,,,,,,,,,,
salvador,52,,adult,s,1,2.0,12,5,,,,,,,6,,,,,,
salvador,53,,adult,p,2,2.0,13,5,,,,,,,6,,,,,,
salvador,54,,adult,s,1,2.0,12,6,,,,,,,6,,,1,,,
salvador,55,,adult,p,2,2.0,12,5,,,,,,,3,,,,,,
salvador,56,,adult,s,1,2.0,10,10,,,,,,,6,1,,,,,
salvador,57,,adult,s,1,2.0,12,8,,,,,,,6,,,,,,
salvador,58,,adult,s,1,0.5,6.5,,,,,,,,19,1,,,,,
salvador,59,,adult,p,2,1.0,7,15,11,,,,,,1,,,,,,
salvador,60,,adult,p,2,1.0,7,9,,,,,,,,2,,,,,
salvador,61,,adult,ag,4,1.5,11,,,,,,,,,,,,,,
salvador,62,,adult,ag,10,2.0,7,6,2,,,,,,8,,,,,,
salvador,63,,adult,ag,5,2.0,7,3,,,,,,,6,,1,,,2,
salvador,64,,adult,p,2,2.0,12,4,,,,,,,2,,,,,,
salvador,65,,adult,ag,,2.0,11,,,,,,,,5,,,,,,
salvador,66,,adult,ag,,2.0,8,2,,,,,,,23,,,,,,
salvador,67,,adult,ag,,2.0,12,,1,,,,,,3,,,,,,
salvador,68,,adult,p,2,2.0,12,3,,,,,,,4,,,,,,
salvador,69,,adult,s,1,2.0,8,1,,,,,,,11,,,,,,
salvador,70,,adult,ag,,2.0,10,,,,,,,,6,,,,,,
salvador,71,,adult,s,1,1.0,8,1,,,,,,,,,,,,,
salvador,72,,adult,p,2,1.0,8,2,2,,,,,,1,,,,,,
salvador,73,,adult,p,2,1.0,7,3,1,,,,,,1,,2,,,,
salvador,74,,adult,s,1,0.5,8,6,,,,,,,4,,,,,,
salvador,75,,adult,s,1,1.0,8,2,,,,,,,5,,,,,,
salvador,76,,adult,ag,3,0.5,10,5,,,,,,,2,,,1,,,
salvador,77,,adult,s,1,1.5,7,5,,,,,,,,,,,,,
salvador,78,,adult,p,2,1.0,10,5,,,,,,,4,,,,,,
salvador,79,,adult,ag,4,1.5,12,,,,,,,,,,,,,,
salvador,80,,adult,s,1,0.5,7,3,,,,,,,5,,,,,,
salvador,81,,adult,p,2,1.5,10,,,,,,,,1,,,,,,
salvador,82,,adult,p,2,1.5,7,,,,,,,,,,,,,,
salvador,83,,adult,p,2,1.5,6,7,,,,,,,5,,,,,,
salvador,84,,adult,ag,5,1.5,6,,,,,,,,14,,,,,,1
salvador,85,,adult,ag,5,1.5,10,1,,,,,,,10,,,,,,
salvador,86,,adult,p,2,1.5,6,1,,,,,,,4,,,,,,
salvador,87,,adult,p,2,1.5,7,,,,,,,,,,,,,,2
salvador,88,,adult,ag,8,1.5,9,,,,,,,,,,,1,,,1
salvador,89,,adult,ag,8,1.5,7,,2,,,,,,20,,,,,,
salvador,90,,adult,ag,3,1.5,12,,,,,,,,5,,,,,,
salvador,91,,adult,s,1,1.5,10,,,,,,,,4,,,1,,,
salvador,92,,adult,s,1,2.0,10,,,,,,,,8,,,3,,,
salvador,93,,adult,p,2,2.0,8,,,,,,,,13,,,,,,
salvador,94,,adult,s,1,2.0,6,,,,,,,,13,,,,,,
salvador,95,,adult,p,2,2.0,10,,,,,,,,8,,,,,,
salvador,96,,adult,p,2,2.0,7,,,,,,,,25,,,,,,
salvador,97,,adult,s,1,2.0,10,,,,,,,,27,,,,,,
salvador,98,,adult,p,2,2.0,7.5,,,,,,,,25,,,,,,
salvador,99,,adult,p,2,1.0,8,,,,,,,,7,,,,,,
salvador,100,,adult,s,1,1.0,10,,,,,,,,10,,,,,,
puerto_rico,1,,adult,p,2,24.0,13,3,,,,,,,,,2,1,,,
puerto_rico,2,,adult,p,2,24.0,13,,,,,,,,,,,3,,,
puerto_rico,5,,adult,s,1,16.0,15,,,,,,,,,,,,,,
puerto_rico,6,,adult,p,2,15.0,13,4,,,,,,,,,,,,,
puerto_rico,7,,adult,p,2,18.0,13,2,,,2,,,,,2,,,,,
puerto_rico,8,,adult,s,1,18.0,12.5,3,,,2,,,,,2,,,,,
puerto_rico,9,,adult,p,2,18.0,13,3,,,1,,,2,,,,,,,
puerto_rico,10,,adult,p,2,18.0,13,5,,,,,,,,2,,,,,
puerto_rico,11,,adult,s,1,18.0,12,3,,,,,,,,2,,,,,
puerto_rico,12,,adult,p,2,18.0,13,,,,,,,,,,,,,,
puerto_rico,13,,adult,s,1,18.0,12,,,,,,,,,,,,,,
puerto_rico,14,,adult,p,2,18.0,13,,,,,,,,,,,,,,
puerto_rico,15,,adult,p,2,16.0,13,,,,,,,,,,,,,,
puerto_rico,16,,adult,s,1,17.0,15,2,,,2,,,,,4,,,,,
puerto_rico,17,,adult,s,1,17.0,13,,,,,,,,,,,,,,
puerto_rico,18,,adult,p,2,17.0,12,1,,,,,,,,1,2,,,,
puerto_rico,19,,adult,p,2,17.0,13,4,,,,,,,,1,,,,,
puerto_rico,20,,adult,p,2,17.0,13,,,,,,,,,,,,,,
puerto_rico,21,,adult,p,2,20.0,11,,,,,,,,,,,,,,
puerto_rico,22,,adult,p,2,20.0,11,,,,,,,,,,,,,,
puerto_rico,23,,adult,p,2,19.0,13,,,,,,,,,2,,,,,
puerto_rico,24,,adult,p,2,19.0,13,,,,,,,,,,,,,,
puerto_rico,25,,adult,p,2,18.0,13,5,,,2,,1,,,1,,,,,
puerto_rico,26,,adult,p,2,18.0,15,4,,,,,,,,3,2,2,,,
puerto_rico,27,,adult,p,2,16.0,13,4,,2,,,,,,,,,,,
puerto_rico,28,,adult,p,2,16.0,15,,,,,,,,,,,2,,,
puerto_rico,29,,adult,s,1,16.0,10,2,,,,,,,,,,,,,
puerto_rico,30,,adult,p,2,17.0,13,1,,,,,,,,,2,,,,
puerto_rico,31,,adult,p,2,17.0,15,6,,,,,,,,,1,3,,,
puerto_rico,32,,adult,p,2,15.2,13,6,,,,,,,,,,1,,,
puerto_rico,33,,adult,p,2,15.2,14,4,,,,,,,,,,1,,,
puerto_rico,34,,adult,p,2,14.0,15,2,,,,,,,,,,1,,,
puerto_rico,35,,adult,p,2,14.0,15,3,,,,,,,,,,1,,,
puerto_rico,36,,adult,p,2,15.2,14,2,,,,,,,,,,1,,,
puerto_rico,37,,adult,p,2,15.2,14,1,,,,,,,,,,2,,,
puerto_rico,38,,adult,p,2,15.2,14,3,,,,,,,,,,2,,,
puerto_rico,39,,adult,p,2,15.2,14,2,,,2,,,,,,,,,,
puerto_rico,40,,adult,p,2,15.8,14,5,,,,,,,,,,2,,,
puerto_rico,41,,adult,p,2,15.8,14,2,,,,,,,,,,4,,,
puerto_rico,42,,adult,p,2,13.0,13,7,,1,,,,,,2,,,,,
puerto_rico,43,,adult,p,2,13.0,13,2,,1,,,,,,,,,,,
puerto_rico,44,,adult,p,2,13.0,13,2,,,,,,,,,,,,,
puerto_rico,45,,adult,p,2,13.0,13,2,,,,,,,,,,,,,
puerto_rico,46,,adult,s,1,15.0,11,5,,4,,,,,,,,1,,,
puerto_rico,47,,adult,p,2,14.0,15,5,,,,,,,,,,,,,
puerto_rico,48,,adult,p,2,14.0,15,2,,,,,,2,,,1,,,,
puerto_rico,49,,adult,s,1,13.0,15,2,,,,,,2,,,,,,,
puerto_rico,50,,adult,p,2,13.0,13,1,,,,,,,,,1,3,,,
puerto_rico,51,,adult,p,2,13.0,13,,,2,,,,,,,,,,,
puerto_rico,52,,adult,p,2,13.0,15,2,,,,,,,,,,,,,
puerto_rico,53,,adult,p,2,13.0,15,,,,,,,,,,,,,,
puerto_rico,54,,adult,p,2,20.0,13,1,,,,,,1,,,,,,,
puerto_rico,55,,adult,p,2,20.0,13,2,,,2,,,,,,,,,,
puerto_rico,56,,adult,p,2,19.0,15,,,,,,,,,,,,,,
puerto_rico,57,,adult,p,2,19.0,15,,,,,,,,,,,,,,
puerto_rico,58,,adult,p,2,20.0,15,,,,1,,,,,,5,3,,,
puerto_rico,59,,adult,p,2,20.0,15,,,,,,,,,,8,4,,,
puerto_rico,60,,adult,p,2,18.0,13,1,,,,,2,,,,,,,,
puerto_rico,61,,adult,p,2,18.0,13,1,,,,,,,,,,,,,
puerto_rico,62,,adult,s,1,18.0,14,,,,1,,,,,,,1,,,
puerto_rico,63,,adult,p,2,18.0,14,,,,,,,,,,,,,,
puerto_rico,64,,adult,p,2,18.0,13,,,,,,,,,,,,,,
puerto_rico,3,,adult,p,2,17.0,11,,,,,,,23,,,,,,,
puerto_rico,4,,adult,p,2,17.0,9,,,,,,,11,,,,,,,
guarapari,1,,adult,p,2,13.0,13,,,,,,,4,,,,,,,
guarapari,2,,adult,p,2,13.0,15,3,,,,,,1,,,,2,,,
guarapari,3,,adult,p,2,13.0,13,2,,,,,,9,,,1,1,,,
guarapari,4,,adult,p,2,13.0,15,,,1,,,,7,,,3,,,,
guarapari,5,,adult,p,2,13.0,14,,,2,,,2,7,,,,,,,
guarapari,6,,adult,p,2,13.0,14,,,,,,,1,,,,,,,
guarapari,7,,adult,p,2,13.0,14,2,,,,,,10,,,,,,,
guarapari,8,,adult,p,2,13.0,14,,,1,,,,4,,,,,,,
guarapari,9,,adult,p,2,13.0,15,1,,,,,,8,,,,,,,
guarapari,10,,adult,p,2,11.0,13,1,,,,,4,3,,,,,,,
guarapari,11,,adult,p,2,11.0,15,,,,,,,1,,,,,,,
guarapari,12,,adult,p,2,11.0,15,,,2,,,,7,,,2,,,,
guarapari,13,,adult,p,2,11.0,13,1,,,,,,7,,,,,,,
guarapari,14,,adult,p,2,8.0,13,,,3,,,,5,,,,,,,
guarapari,15,,adult,p,2,8.0,13,,,,,,,12,,,,,,,
guarapari,16,,adult,p,2,8.0,13,,,,,,,6,,,1,4,,,
guarapari,17,,adult,p,2,6.0,13,,,,,,1,24,,,,,,,
guarapari,18,,adult,p,2,5.0,13,4,,,,,,,,,,,,,
guarapari,19,,adult,p,2,6.7,15,,,,,,,3,,,,,,,
guarapari,20,,adult,p,2,8.0,14,,,,,,1,12,,,,,,,
guarapari,21,,adult,p,2,8.0,15,,,,,,,4,,,,,,,
guarapari,22,29_mar_2012,adult,p,2,12.0,15,2,,2,,,2,,,,2,,,,
guarapari,23,ilhasrasas,adult,p,2,12.0,15,,,,,,,,,,,,27,,
guarapari,24,,adult,p,2,10.0,13,,,,,,,,,,,,31,,
guarapari,25,,adult,p,2,10.0,15,,,,,,,,,,,,,,
guarapari,26,,adult,p,2,11.0,15,1,,,,,,,,,,,,,
guarapari,27,,adult,p,2,10.0,13,1,,,,,,6,,,3,,,,
guarapari,28,,adult,p,2,10.0,14,1,,,,,,6,,,,,,,
guarapari,29,,adult,p,2,11.0,14,,,2,,,,10,,,,,,,
guarapari,30,,adult,p,2,11.0,14,,,2,,,,10,,,,,,,
guarapari,31,,adult,p,2,8.0,14,1,,,,,,14,,,2,,,,
guarapari,32,2diveana,adult,p,2,12.0,14,2,,,,,,,,,,,,,
guarapari,33,,adult,p,2,12.0,14,2,,,,,,,,,,,,,
guarapari,34,,adult,p,2,11.0,14,,,,,,,,,,2,,29,,
guarapari,35,,adult,p,2,11.0,14,,,,,,,,,,,,6,,
guarapari,36,,adult,p,2,9.0,14,,,,,,,,,,,,30,,
guarapari,37,,adult,p,2,9.0,14,,,,,,,1,,,,,3,,
guarapari,38,,adult,p,2,8.6,14,2,,,,,3,,,,4,1,,,
guarapari,39,,adult,p,2,9.0,15,,,2,,,,6,,,,,,,
guarapari,40,,adult,p,2,6.0,15,,,,,,,4,,,,,,,
guarapari,41,,adult,p,2,4.0,15,,,,,,,,,,,,,,
guarapari,42,,adult,p,2,6.0,15,,,,,,,4,,,,,,,
guarapari,43,,adult,p,2,6.0,15,,,,,,,17,,,,,,,
guarapari,44,sergio,adult,p,2,11.0,15,3,,,,,,13,,,,,,,
guarapari,45,escalvada,adult,p,2,11.0,15,9,,,,,,,,,,,,,
guarapari,46,30_mar_2012,adult,p,2,11.0,15,4,,,,,,6,,,,,,,
guarapari,47,,adult,p,2,11.0,15,4,,,,,,6,,,2,,,,
guarapari,48,,adult,p,2,11.0,15,2,,,,,,10,,,2,,,,
guarapari,49,,adult,p,2,11.0,15,10,,,,,,1,,,,,,,
guarapari,50,2dive,adult,p,2,11.0,15,7,,,,,,6,,,3,,,,
guarapari,51,,adult,p,2,11.0,15,2,,,,,,15,,,,,,,
guarapari,52,,adult,p,2,11.0,15,11,,,,,,2,,,4,,,,
guarapari,53,,adult,p,2,11.0,15,3,,,,,,14,,,,,,,
guarapari,54,,adult,p,2,11.0,16,,,,,,,14,,,,,,,
guarapari,55,anaescalvada,adult,p,2,16.0,15,1,,,,,,13,,,1,,,,
guarapari,56,30_mar_2012,adult,p,2,15.0,15,,,,,,,4,,,3,,,,
guarapari,57,,adult,p,2,10.0,15,1,,,,,,,,,2,,,,
guarapari,58,,adult,p,2,13.0,13,1,,3,,,,7,,,,,,,
guarapari,59,,adult,p,2,9.0,15,1,,,,,,12,,,,,,,
guarapari,60,,adult,p,2,14.0,15,4,,,,,1,1,,,1,,,,
guarapari,61,,adult,p,2,14.0,15,4,,1,,,,,,,1,1,,,
guarapari,62,,adult,p,2,14.0,15,,,,,,,4,,,,,,,
guarapari,63,,adult,p,2,14.0,15,,,,,,,,,,1,1,,,
guarapari,64,,adult,p,2,7.0,13,5,,,,,,,,,,,,,
guarapari,65,,adult,p,2,10.0,13,,,2,,,,9,,,1,,,,
guarapari,66,,adult,p,2,10.0,13,,,,,,,4,,,,,,,
guarapari,67,,adult,p,2,7.0,13,1,,,,,,5,,,2,1,,,
guarapari,68,,adult,p,2,6.0,13,12,,,,,,19,,,,,,,
guarapari,69,,adult,p,2,8.0,13,5,,,,,,5,,,1,,,,
guarapari,70,,adult,p,2,8.0,13,1,,,,,,17,,,2,,,,
guarapari,71,,adult,p,2,9.0,13,3,,3,,,,1,,,2,,,,
guarapari,72,,adult,p,2,9.0,13,4,,1,,,,2,,,1,,,,
